Model,Accuracy,AUC,Precision,Recall,F1_Score,MCC
Logistic_Regression,0.8939226519337017,0.8643628455099512,0.5294117647058824,0.1836734693877551,0.2727272727272727,0.26775626072675024
Decision_Tree,0.8729281767955801,0.6956604203019499,0.42201834862385323,0.46938775510204084,0.4444444444444444,0.3736052755643059
kNN,0.8906077348066298,0.7451508484434665,0.4864864864864865,0.1836734693877551,0.26666666666666666,0.25128141676838883
Naive_Bayes,0.8265193370165745,0.8000531067445565,0.29931972789115646,0.4489795918367347,0.35918367346938773,0.27072598978631357
Random_Forest,0.901657458563536,0.9122158156943074,0.6,0.2755102040816326,0.3776223776223776,0.3619655486926283
XGBoost,0.8972375690607735,0.9051918165035531,0.5352112676056338,0.3877551020408163,0.44970414201183434,0.4008625337595507
